EmporiaID,Grade,Memo,FunctionNo,Price_ForWeek,iValue
08D22596-2500-46BE-AC82-8E50C6E9391B,1,캡슐생성기,1,10,50140110
08D22596-2500-46BE-AC82-8E50C6E9391B,1,좋은 대장간,3,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,1,치유의샘,4,10,19001
08D22596-2500-46BE-AC82-8E50C6E9391B,2,캡슐생성기,1,10,50140120
08D22596-2500-46BE-AC82-8E50C6E9391B,2,길드 소울크래프트,2,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,2,좋은 대장간,3,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,3,캡슐생성기,1,10,50140130
08D22596-2500-46BE-AC82-8E50C6E9391B,3,길드 소울크래프트,2,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,3,좋은 대장간,3,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,3,치유의샘,4,10,19001
08D22596-2500-46BE-AC82-8E50C6E9391B,3,블랙마켓,5,10,0
08D22596-2500-46BE-AC82-8E50C6E9391B,4,캡슐생성기,1,10,50140140
08D22596-2500-46BE-AC82-8E50C6E9391B,4,길드 소울크래프트,2,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,4,좋은 대장간,3,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,4,치유의샘,4,10,19001
08D22596-2500-46BE-AC82-8E50C6E9391B,4,블랙마켓,5,10,0
08D22596-2500-46BE-AC82-8E50C6E9391B,5,캡슐생성기,1,10,50140150
08D22596-2500-46BE-AC82-8E50C6E9391B,5,길드 소울크래프트,2,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,5,좋은 대장간,3,10,2000
08D22596-2500-46BE-AC82-8E50C6E9391B,5,치유의샘,4,10,19001
08D22596-2500-46BE-AC82-8E50C6E9391B,5,블랙마켓,5,10,0
